county_fips,county,state,risk_score,sovi_score,resilience_score
51001,Accomack,Virginia,89.5641107222399,87.75,55.43999862670898
51003,Albemarle,Virginia,64.39707286032453,24.25,68.80999755859375
51005,Alleghany,Virginia,14.158447343302576,39.9099998474121,48.56999969482422
51007,Amelia,Virginia,9.417753738466434,40.66999816894531,40.930000305175774
51009,Amherst,Virginia,10.372255806554248,34.790000915527344,48.310001373291016
51011,Appomattox,Virginia,4.963410754056634,19.540000915527344,47.680000305175774
51013,Arlington,Virginia,73.91027680559975,19.290000915527344,53.25
51015,Augusta,Virginia,43.938911867642375,19.21999931335449,67.25
51017,Bath,Virginia,4.358892777601018,33.61000061035156,47.450000762939446
51019,Bedford,Virginia,27.139675469296847,7.349999904632568,55.31999969482422
51021,Bland,Virginia,1.495386573337576,22.8799991607666,15.25
51023,Botetourt,Virginia,8.399618199172764,1.179999947547913,80.5199966430664
51025,Brunswick,Virginia,28.53961183582565,86.98000335693358,13.9399995803833
51027,Buchanan,Virginia,46.80241807190582,63.180000305175774,3.630000114440918
51029,Buckingham,Virginia,13.203945275214762,77.5,12.859999656677246
51031,Campbell,Virginia,20.330894050270444,36.81999969482422,64.04000091552734
51033,Caroline,Virginia,15.526566974228444,32.560001373291016,60.25
51035,Carroll,Virginia,8.11326757874642,39.470001220703125,19.1299991607666
51036,Charles City,Virginia,13.553929366846962,28.26000022888184,48.950000762939446
51037,Charlotte,Virginia,12.281259942729877,79.66000366210938,19.61000061035156
51041,Chesterfield,Virginia,88.60960865415208,27.850000381469727,67.66000366210938
51043,Clarke,Virginia,10.34043907095132,8.59000015258789,74.22000122070312
51045,Craig,Virginia,0.572701240852688,2.990000009536743,45.66999816894531
51047,Culpeper,Virginia,43.42984409799554,47.63999938964844,59.47999954223633
51049,Cumberland,Virginia,8.335984727966911,38.450000762939446,26.729999542236328
51051,Dickenson,Virginia,19.12185809735921,71.7699966430664,2.039999961853027
51053,Dinwiddie,Virginia,24.117085587018767,45.88999938964844,47.41999816894531
51057,Essex,Virginia,60.83359847279669,83.41999816894531,56.13999938964844
51059,Fairfax,Virginia,94.5911549475024,26.229999542236328,51.5
51061,Fauquier,Virginia,47.725103404390715,8.149999618530273,71.98999786376953
51063,Floyd,Virginia,3.245307031498569,9.93000030517578,61.77999877929688
51065,Fluvanna,Virginia,13.267578746420616,10.18000030517578,50.88999938964844
51067,Franklin,Virginia,13.172128539611837,42.36000061035156,38.5099983215332
51069,Frederick,Virginia,51.28857779191854,21.61000061035156,64.26000213623047
51071,Giles,Virginia,7.063315303849825,13.300000190734863,56.810001373291016
51073,Gloucester,Virginia,65.38339166401526,6.369999885559082,73.2699966430664
51075,Goochland,Virginia,12.535793827553292,5.380000114440918,91.9800033569336
51077,Grayson,Virginia,4.486159720012727,57.220001220703125,16.649999618530273
51079,Greene,Virginia,13.140311804008908,28.799999237060547,41.25
51081,Greensville,Virginia,18.35825644288896,76.02999877929686,31.25
51083,Halifax,Virginia,43.81164492523067,70.1500015258789,33.66999816894531
51085,Hanover,Virginia,56.66560610881324,1.909999966621399,92.11000061035155
51087,Henrico,Virginia,78.61915367483296,36.119998931884766,78.87000274658203
51089,Henry,Virginia,49.093223035316576,79.12000274658203,23.6200008392334
51091,Highland,Virginia,0.509067769646834,9.260000228881836,76.06999969482422
51093,Isle of Wight,Virginia,71.46038816417436,34.119998931884766,78.61000061035155
51095,James City,Virginia,77.50556792873051,18.940000534057617,90.98999786376952
51097,King and Queen,Virginia,36.239261851734014,4.519999980926514,52.130001068115234
51099,King George,Virginia,47.75692013999364,5.25,70.91000366210938
51101,King William,Virginia,35.157492841234486,0.569999992847443,83.58000183105469
51103,Lancaster,Virginia,66.08335984727967,41.34000015258789,75.62000274658203
51105,Lee,Virginia,21.062678969137767,87.87000274658203,1.240000009536743
51107,Loudoun,Virginia,78.20553611199492,9.520000457763672,75.05000305175781
51109,Louisa,Virginia,37.35284759783647,33.099998474121094,58.34000015258789
51111,Lunenburg,Virginia,19.47184218899141,81.83000183105469,11.489999771118164
51113,Madison,Virginia,15.78110085905186,18.11000061035156,60.7599983215332
51115,Mathews,Virginia,60.89723194400255,12.539999961853027,84.79000091552734
51117,Mecklenburg,Virginia,51.034043907095125,65.25,25.11000061035156
51119,Middlesex,Virginia,62.297168310531326,29.280000686645508,68.13999938964844
